asset,base_weight,optimized_weight,change
AAPL,0.09999999999999999,0.027400177714188304,-0.07259982228581169
MSFT,0.09999999999999999,0.09974605928172918,-0.000253940718270812
JPM,0.09999999999999999,0.09999999980491533,-1.950846567622122e-10
XOM,0.09999999999999999,0.09838460013238833,-0.0016153998676116665
PG,0.09999999999999999,0.09999321420203822,-6.785797961775253e-06
JNJ,0.09999999999999999,0.09999200336624421,-7.996633755780191e-06
TLT,0.125,0.14605753514789244,0.021057535147892437
LQD,0.125,0.12508050055439654,8.05005543965398e-05
GLD,0.05,0.0500073390773376,7.3390773375967e-06
DBC,0.05,0.04999725097622734,-2.7490237726607303e-06
UUP,0.05,0.1033413197426425,0.0533413197426425
