scenario,asset,weighted_contribution
2008 Crisis,AAPL,-0.050097744366949366
2008 Crisis,MSFT,-0.06616098588264113
2008 Crisis,JPM,-0.04502232484762461
2008 Crisis,XOM,-0.05116079715830867
2008 Crisis,PG,-0.03327500145144329
2008 Crisis,JNJ,-0.026236512847594082
2008 Crisis,TLT,0.014721513469188851
2008 Crisis,LQD,-0.019587242572824754
2008 Crisis,GLD,0.002757611344609625
2008 Crisis,DBC,-0.010141889109190828
2008 Crisis,UUP,0.007816358545841753
COVID Shock,AAPL,-0.0378165744631333
COVID Shock,MSFT,-0.04925715262999374
COVID Shock,JPM,-0.035049117043159675
COVID Shock,XOM,-0.03599370582233055
COVID Shock,PG,-0.024187002994621138
COVID Shock,JNJ,-0.017632893695729332
COVID Shock,TLT,0.027519672630641416
COVID Shock,LQD,-0.009031995693431903
COVID Shock,GLD,0.003938952404663677
COVID Shock,DBC,-0.008688171212081852
COVID Shock,UUP,0.005655178683210401
Inflation Rate Shock,AAPL,-0.016263749901769348
Inflation Rate Shock,MSFT,-0.02220677781106838
Inflation Rate Shock,JPM,-0.012221321150732024
Inflation Rate Shock,XOM,-0.007301687855074989
Inflation Rate Shock,PG,-0.01019855097700872
Inflation Rate Shock,JNJ,-0.009446598187770203
Inflation Rate Shock,TLT,-0.0068353570104708675
Inflation Rate Shock,LQD,-0.009853678244913375
Inflation Rate Shock,GLD,0.001254455983747219
Inflation Rate Shock,DBC,0.004866455595406792
Inflation Rate Shock,UUP,0.0028986389472890808
Bear 15%,AAPL,-0.022137726202983928
Bear 15%,MSFT,-0.028149783567094407
Bear 15%,JPM,-0.019614810588497282
Bear 15%,XOM,-0.022324229549031276
Bear 15%,PG,-0.014013655517485528
Bear 15%,JNJ,-0.011224236152644835
Bear 15%,TLT,0.00762862123137209
Bear 15%,LQD,-0.008066098854850445
Bear 15%,GLD,0.0010690945131479254
Bear 15%,DBC,-0.004846293640240334
Bear 15%,UUP,0.003794874487608198
